,player,1_hits_count,2_hits_count,3_hits_count,4_hits_count,games_played
94,Bryce Teodosio,1,0,0,0,4
95,Bryson Stott,22,8,2,0,34
96,Buddy Kennedy,0,0,0,0,2
97,Byron Buxton,24,12,0,0,35
98,CJ Abrams,28,10,5,1,48
99,Cade Marlowe,2,0,0,0,7
100,Cal Raleigh,29,9,1,0,53
101,Cal Stevenson,4,0,0,0,11
102,Caleb Durbin,7,1,0,0,14
103,Cam Smith,7,2,0,0,13
104,Carlos Correa,18,11,4,0,33
105,Carlos Narvaez,14,4,0,0,24
106,Carlos Santana,25,8,0,0,47
107,Carson Kelly,15,5,2,1,30
108,Casey Legumina,0,0,0,0,1
109,Casey Schmitt,7,1,0,0,11
110,Cavan Biggio,8,0,0,0,24
111,Ceddanne Rafaela,27,11,1,0,49
112,Cedric Mullins,28,11,2,0,46
113,Cesar Salazar,3,0,0,0,5
114,Chandler Simpson,5,2,0,0,7
115,Charles Leblanc,2,0,0,0,6
116,Charlie Blackmon,11,6,0,0,15
117,Chas McCormick,10,3,1,0,39
118,Chase Meidroth,6,2,1,0,11
119,Chase Shugart,0,0,0,0,1
120,Chris Martin,0,0,0,0,1
121,Chris Taylor,19,4,1,0,38
122,Christian Bethancourt,6,2,1,0,11
123,Christian Encarnacion-Strand,1,0,0,0,3
124,Christian Koss,6,1,0,0,12
125,Christian Vazquez,16,3,0,0,27
126,Christian Walker,18,6,1,0,30
127,Christian Yelich,15,9,1,0,27
128,Christopher Morel,28,9,1,0,44
129,Chuckie Robinson,2,0,0,0,9
130,Coby Mayo,2,0,0,0,7
131,Coco Montes,1,0,0,0,4
132,Cody Bellinger,34,13,2,0,48
133,Colin Rea,0,0,0,0,1
134,Colt Keith,21,14,1,0,48
135,Colton Cowser,24,9,1,0,35
136,Connor Joe,10,0,0,0,20
137,Connor Norby,25,10,3,0,36
138,Connor Wong,18,6,2,1,31
139,Corbin Carroll,41,15,1,0,49
140,Corey Julks,4,2,0,0,12
141,Corey Seager,34,17,5,2,43
142,Cristian Pache,8,1,0,0,17
143,Curt Casali,4,1,0,0,10
144,Curtis Mead,5,1,0,0,15
145,DJ LeMahieu,10,4,0,0,21
146,DJ Stewart,5,0,0,0,8
147,DaShawn Keirsey Jr.,1,0,0,0,20
148,Dairon Blanco,3,1,0,0,23
149,Dane Myers,11,4,1,0,17
150,Daniel Schneemann,16,5,0,0,34
151,Danny Jansen,13,4,0,0,27
152,Danny Mendick,2,1,0,0,4
153,Dansby Swanson,38,14,2,0,58
154,Darell Hernaiz,3,1,0,0,8
155,Darren Baker,1,0,0,0,2
156,Daulton Varsho,16,8,2,0,31
